username,name,url_main,url_user,exists,http_status
elonmusk,Kickstarter,https://www.kickstarter.com,https://www.kickstarter.com/profile/elonmusk,Unknown,403
elonmusk,Quora,https://www.quora.com/,https://www.quora.com/profile/elonmusk,Unknown,403
elonmusk,Tumblr,https://www.tumblr.com,https://www.tumblr.com/elonmusk,Claimed,200
elonmusk,WordPress,https://wordpress.com,https://elonmusk.wordpress.com/,Claimed,200
elonmusk,GitHub,https://www.github.com/,https://github.com/elonmusk,Claimed,200
elonmusk,Wix,https://wix.com/,https://elonmusk.wix.com,Available,404
elonmusk,Twitter,https://www.twitter.com/,https://twitter.com/elonmusk,Claimed,200
elonmusk,StackOverflow,https://stackoverflow.com,https://stackoverflow.com/users/filter?search=elonmusk,Claimed,200
elonmusk,SoundCloud,https://soundcloud.com/,https://soundcloud.com/elonmusk,Claimed,200
elonmusk,Freepik,https://www.freepik.com,https://www.freepik.com/author/elonmusk,Available,404
elonmusk,Bluesky,https://bsky.app,https://bsky.app/profile/elonmusk.bsky.social,Available,400
elonmusk,Trello,https://trello.com/,https://trello.com/elonmusk,Claimed,200
elonmusk,TheVerge,https://www.theverge.com,https://www.theverge.com/users/elonmusk,Available,410
elonmusk,SourceForge,https://sourceforge.net/,https://sourceforge.net/u/elonmusk/profile,Unknown,403
elonmusk,Behance,https://www.behance.net/,https://www.behance.net/elonmusk,Claimed,200
elonmusk,Issuu,https://issuu.com/,https://issuu.com/elonmusk,Available,404
elonmusk,Blogger,https://www.blogger.com/,https://elonmusk.blogspot.com,Claimed,200
elonmusk,YouTube,https://www.youtube.com/,https://www.youtube.com/@elonmusk/about,Claimed,200
elonmusk,YouTube User,https://www.youtube.com/,https://www.youtube.com/@elonmusk/about,Claimed,200
elonmusk,Scribd,https://www.scribd.com/,https://www.scribd.com/elonmusk,Unknown,200
elonmusk,linktr.ee,https://linktr.ee,https://linktr.ee/elonmusk,Unknown,403
elonmusk,ThemeForest,https://themeforest.net,https://themeforest.net/user/elonmusk,Claimed,200
elonmusk,Substack,https://substack.com,https://substack.com/@elonmusk,Claimed,200
elonmusk,Imgur,https://imgur.com,https://imgur.com/user/elonmusk,Claimed,200
elonmusk,Medium,https://medium.com/,https://medium.com/@elonmusk,Available,404
elonmusk,Steam,https://steamcommunity.com/,https://steamcommunity.com/id/elonmusk,Claimed,200
elonmusk,DailyMotion,https://www.dailymotion.com,https://www.dailymotion.com/elonmusk,Claimed,200
elonmusk,GitLab,https://gitlab.com/,https://gitlab.com/elonmusk,Claimed,200
elonmusk,Disqus,https://disqus.com/,https://disqus.com/elonmusk,Claimed,200
elonmusk,Dribbble,https://dribbble.com/,https://dribbble.com/elonmusk,Claimed,404
elonmusk,Discord,https://discord.com/,https://discord.com,Claimed,200
elonmusk,Google Scholar,https://scholar.google.com/,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=elonmusk&btnG=,Unknown,403
