username,name,url_main,url_user,exists,http_status
zuck,Fandom,https://www.fandom.com/,https://www.fandom.com/u/zuck,Unknown,403
zuck,Quora,https://www.quora.com/,https://www.quora.com/profile/zuck,Unknown,403
zuck,Kickstarter,https://www.kickstarter.com,https://www.kickstarter.com/profile/zuck,Available,404
zuck,NPM-Package,https://www.npmjs.com/,https://www.npmjs.com/package/zuck,Available,404
zuck,SoundCloud,https://soundcloud.com/,https://soundcloud.com/zuck,Claimed,200
zuck,GitHub,https://www.github.com/,https://github.com/zuck,Claimed,200
zuck,Myspace,https://myspace.com/,https://myspace.com/zuck,Claimed,200
zuck,Wix,https://wix.com/,https://zuck.wix.com,Available,404
zuck,Twitter,https://www.twitter.com/,https://twitter.com/zuck,Available,200
zuck,StackOverflow,https://stackoverflow.com,https://stackoverflow.com/users/filter?search=zuck,Claimed,200
zuck,Bluesky,https://bsky.app,https://bsky.app/profile/zuck.bsky.social,Available,400
zuck,Wikipedia,https://en.wikipedia.org/,https://en.wikipedia.org/wiki/User:zuck,Claimed,200
zuck,Scribd,https://www.scribd.com/,https://www.scribd.com/zuck,Unknown,200
zuck,SlideShare,https://www.slideshare.net,https://www.slideshare.net/zuck,Unknown,200
zuck,Issuu,https://issuu.com/,https://issuu.com/zuck,Available,404
zuck,Tumblr,https://www.tumblr.com,https://www.tumblr.com/zuck,Claimed,200
zuck,YouTube,https://www.youtube.com/,https://www.youtube.com/@zuck/about,Claimed,200
zuck,TheVerge,https://www.theverge.com,https://www.theverge.com/users/zuck,Available,410
zuck,Discord,https://discord.com/,https://discord.com,Claimed,200
zuck,ThemeForest,https://themeforest.net,https://themeforest.net/user/zuck,Claimed,200
zuck,Substack,https://substack.com,https://substack.com/@zuck,Claimed,200
zuck,YouTube User,https://www.youtube.com/,https://www.youtube.com/@zuck/about,Claimed,200
zuck,Medium,https://medium.com/,https://medium.com/@zuck,Claimed,200
zuck,Blogger,https://www.blogger.com/,https://zuck.blogspot.com,Available,404
zuck,Facebook,https://www.facebook.com/,https://www.facebook.com/zuck,Claimed,200
zuck,Trello,https://trello.com/,https://trello.com/zuck,Claimed,200
zuck,GitLab,https://gitlab.com/,https://gitlab.com/zuck,Claimed,200
zuck,Dribbble,https://dribbble.com/,https://dribbble.com/zuck,Claimed,404
zuck,DailyMotion,https://www.dailymotion.com,https://www.dailymotion.com/zuck,Claimed,200
zuck,GooglePlayStore,https://play.google.com/store,https://play.google.com/store/apps/developer?id=zuck,Available,404
zuck,linktr.ee,https://linktr.ee,https://linktr.ee/zuck,Unknown,403
zuck,SourceForge,https://sourceforge.net/,https://sourceforge.net/u/zuck/profile,Available,404
zuck,Imgur,https://imgur.com,https://imgur.com/user/zuck,Claimed,200
zuck,Spotify,https://open.spotify.com/,https://open.spotify.com/user/zuck,Claimed,200
zuck,Google Scholar,https://scholar.google.com/,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=zuck&btnG=,Unknown,403
zuck,Disqus,https://disqus.com/,https://disqus.com/zuck,Claimed,200
zuck,Behance,https://www.behance.net/,https://www.behance.net/zuck,Available,404
zuck,WordPress,https://wordpress.com,https://zuck.wordpress.com/,Claimed,200
zuck,Telegram,https://t.me/,,Illegal,
zuck,Freepik,https://www.freepik.com,https://www.freepik.com/author/zuck,Available,404
zuck,Steam (Group),https://steamcommunity.com/,https://steamcommunity.com/groups/zuck,Claimed,200
zuck,OP.GG LoL Brazil,https://www.op.gg/,https://op.gg/lol/summoners/search?q=zuck&region=br,Claimed,200
zuck,Vimeo,https://vimeo.com,https://vimeo.com/zuck,Claimed,200
zuck,Change.org,https://www.change.org,https://www.change.org/o/zuck,Available,404
zuck,TikTok,https://www.tiktok.com/,https://www.tiktok.com/@zuck,Available,200
zuck,Calendly,https://calendly.com,https://calendly.com/zuck,Claimed,200
zuck,Pinterest,https://www.pinterest.com/,https://www.pinterest.com/zuck/,Available,200
zuck,Gofundme,https://www.gofundme.com,https://www.gofundme.com/f/zuck,Available,404
zuck,Instagram,https://www.instagram.com/,https://www.instagram.com/zuck/,Available,200
zuck,Twitch,https://www.twitch.tv/,https://twitchtracker.com/zuck,Claimed,200
zuck,Xing,https://www.xing.com/,https://www.xing.com/profile/zuck,Available,404
zuck,Naver,https://naver.com,https://blog.naver.com/zuck,Available,404
zuck,OP.GG LoL LAS,https://www.op.gg/,https://op.gg/lol/summoners/search?q=zuck&region=las,Claimed,200
zuck,Steam,https://steamcommunity.com/,https://steamcommunity.com/id/zuck,Claimed,200
zuck,WordPressOrg,https://wordpress.org/,https://profiles.wordpress.org/zuck/,Claimed,200
zuck,Flickr,https://www.flickr.com/,https://www.flickr.com/photos/zuck,Claimed,200
zuck,OpenStreetMap,https://www.openstreetmap.org/,https://www.openstreetmap.org/user/zuck,Claimed,200
zuck,CNET,https://www.cnet.com,https://www.cnet.com/profiles/zuck/,Available,404
zuck,Academia.edu,https://www.academia.edu/,https://independent.academia.edu/zuck,Claimed,200
zuck,W3Schools,https://www.w3schools.com/,https://pathfinder-api.kai.w3spaces.com/public-profile-api/zuck,Available,404
zuck,Slack,https://slack.com,https://zuck.slack.com,Claimed,200
zuck,NPM,https://www.npmjs.com/,https://www.npmjs.com/~zuck,Claimed,200
zuck,OP.GG LoL Middle East,https://www.op.gg/,https://op.gg/lol/summoners/search?q=zuck&region=me,Available,200
